type,name
gene,EXOSC2
gene,SRPRB
gene,INO80E
gene,SLC7A6OS
gene,FAM3C
gene,CFLAR
gene,BRD4
gene,TRIM35
gene,STAT1
gene,GNB2
gene,B4GALT1
gene,EIF4A3
gene,PDS5B
gene,HNRNPD
gene,CBX8
gene,RPL19
gene,YWHAB
gene,RNF5
gene,NMI
gene,ETV6
gene,COMMD4
gene,ERLIN2
gene,TWIST1
gene,RAD23A
gene,TTC26
gene,PDGFRA
gene,PDSS1
gene,LATS2
gene,HIC1
gene,NCALD
gene,RING1
gene,PSEN2
gene,RPS29
gene,CAPN2
gene,TNFRSF10A
gene,POU2F1
gene,CUL3
gene,UFD1L
gene,PRKAR1A
gene,HSF1
gene,STAMBPL1
gene,BAZ2B
gene,MRGBP
gene,SOCS3
gene,CDC42
gene,LMO2
gene,PARD6B
gene,NRP1
gene,NME6
gene,EEF1A1
gene,IRF2
gene,TAF5
gene,USP15
gene,RNF20
gene,SKP2
gene,EIF3C
gene,USP1
gene,LTBR
gene,EXOC4
gene,PIH1D1
gene,PRMT1
gene,CCNC
gene,UBIAD1
gene,PA2G4
gene,LRRC40
gene,SEC23B
gene,BTRC
gene,NCOR1
gene,ZWILCH
gene,PRKAR2A
gene,LSM6
gene,BRWD1
gene,KLF5
gene,CRYAB
gene,HSP90AB1
gene,PIF1
gene,UBC
gene,TIMM50
gene,SH3PXD2A
gene,PPA2
gene,PRPF6
gene,FRMD6
gene,DPP3
gene,ANKRD27
gene,NDUFS1
gene,MED22
gene,SF1
gene,MPZL1
gene,CBX1
gene,FAM98A
gene,UBXN1
gene,GPX7
gene,POLR2A
gene,CLU
gene,DDB2
gene,EIF1B
gene,RPL17
gene,LMAN1
gene,CDK11B
gene,TOMM34
gene,LOXL4
gene,PSMA6
gene,MAPT
gene,SF3A1
gene,MRPL34
gene,SEC24D
gene,HFE
gene,SLC25A3
gene,RARS
gene,TTC30A
gene,AGO2
gene,GDF15
gene,EIF1AD
gene,ANAPC7
gene,PTPN3
gene,KDM4A
gene,ASCC1
gene,CFL1
gene,PPP2R2A
gene,CALCOCO1
gene,OSMR
gene,IQCB1
gene,TRIM59
gene,ARRB2
gene,COA3
gene,CBX5
gene,KHDRBS1
gene,DLG1
gene,MCL1
gene,MSH3
gene,GOLIM4
gene,MSX1
gene,HDAC4
gene,LYRM7
gene,DPP4
gene,PUS1
gene,PI4K2A
gene,PTPN6
gene,PCBP1
gene,VEGFA
gene,PGM3
gene,PIN1
gene,HAUS6
gene,TUBA1A
gene,NIP7
gene,YWHAQ
gene,NXF1
gene,ASNA1
gene,SMARCD2
gene,CCDC47
gene,PRKACA
gene,HSPA1A
gene,IRF3
gene,MRPL27
gene,PIAS1
gene,INTS10
gene,GCH1
gene,NDUFS3
gene,GEMIN4
gene,FNBP1
gene,AURKC
gene,RPS16
gene,AHRR
gene,FTH1
gene,CCNT1
gene,DAPK1
gene,GTF3C4
gene,PPP6C
gene,MAP3K1
gene,DCTN2
gene,TBK1
gene,TRIP4
gene,NUP214
gene,SH2D4A
gene,FAM175A
gene,SRPK2
gene,RAB13
gene,IFT74
gene,PHLPP1
gene,CCT4
gene,ACTR3B
gene,DIABLO
gene,ALG14
gene,ACVR1
gene,WDR18
gene,MED9
gene,RASSF5
gene,MRPL50
gene,PSMC6
gene,UBR5
gene,PGRMC2
gene,LTV1
gene,GNB4
gene,TRAPPC9
gene,SPTLC1
gene,STRIP2
gene,SETD1B
gene,MAPK7
gene,TCF4
gene,TBC1D16
gene,YWHAG
gene,PYCARD
gene,EXOSC9
gene,RPS10
gene,NDUFS4
gene,TRIM37
gene,TNKS
gene,MAP3K11
gene,NOP14
gene,PRTFDC1
gene,PPP2R1B
gene,TIAM1
gene,UBXN4
gene,KAT8
gene,SLBP
gene,CCNE2
gene,DARS
gene,TBC1D5
gene,KLF12
gene,DDOST
gene,STK33
gene,FANCL
gene,PRPF19
gene,SNX2
gene,MAPK11
gene,PSMC2
gene,CHMP5
gene,DNAJC13
gene,NDEL1
gene,ZNF408
gene,WASF2
gene,ERCC2
gene,RALBP1
gene,MRPS12
gene,ARFRP1
gene,TSNAX
gene,NSFL1C
gene,TLE1
gene,VPS4A
gene,ATG13
gene,TADA2B
gene,MCM5
gene,RPL6
gene,NUP133
gene,GORASP2
gene,CSF1R
gene,ZNRF2
gene,UHRF1BP1
gene,ATP5O
gene,SACM1L
gene,APPL2
gene,SCFD2
gene,DNAJC8
gene,EIF4A1
gene,RIN1
gene,TNRC6C
gene,PHLPP2
gene,ANGPTL4
gene,CDCA3
gene,TUBGCP4
gene,FSTL1
gene,CLK2
gene,ELAVL1
gene,GIT2
gene,GLI3
gene,BAK1
gene,BOLA3
gene,CSF2RB
gene,CTBP2
gene,TTI1
gene,HSF2
gene,SMARCA4
gene,ID3
gene,GOLGB1
gene,AKAP8
gene,KAT5
gene,AATF
gene,ZRANB1
gene,ATG16L1
gene,PLOD3
gene,SURF4
gene,RBM12B
gene,PRCP
gene,TAF1D
gene,PIBF1
gene,CIB1
gene,L3MBTL3
gene,USP4
gene,SNX5
gene,NUAK1
gene,CD44
gene,CASP3
gene,RNF38
gene,NANS
gene,UFM1
gene,ZNF446
gene,POT1
gene,KLHL2
gene,SMIM3
gene,NUB1
gene,CCDC6
gene,ANXA6
gene,AIP
gene,BEND5
gene,TARBP2
gene,MAPRE1
gene,GTF2H2
gene,SSB
gene,FOXO3
gene,BUB3
gene,POLR2B
gene,LAMTOR2
gene,MAP3K7
gene,CDC16
gene,LZTFL1
gene,ACVR1B
gene,NUP43
gene,WDR82
gene,KLHL9
gene,HAUS3
gene,ZHX3
gene,TUBB
gene,BEND3
gene,KLF13
gene,RBM7
gene,NUP85
gene,CNOT2
gene,PNKP
gene,GCLM
gene,SPICE1
gene,NEIL2
gene,SNX6
gene,UFL1
gene,PLD1
gene,TPM1
gene,MAP2K4
gene,LITAF
gene,DCUN1D2
gene,CLK3
gene,NOLC1
gene,SUFU
gene,SUMO3
gene,AUP1
gene,SUPT5H
gene,MPDZ
gene,KXD1
gene,E2F3
gene,FRS2
gene,APP
gene,TLR3
gene,LSM4
gene,FBXO32
gene,EIF4G3
gene,EMC7
gene,UVRAG
gene,SNRPC
gene,FANCA
gene,FLT1
gene,ITGAV
gene,RAB11FIP2
gene,LARS
gene,MLX
gene,COL3A1
gene,PSMC3IP
gene,PELI1
gene,DLD
gene,VPS33A
gene,COMMD2
gene,CUEDC2
gene,BMI1
gene,GOPC
gene,FOSL1
gene,CEP63
gene,PLOD1
gene,PARP11
gene,SEPT7
gene,NFE2L1
gene,KIF11
gene,MMAA
gene,POP4
gene,NGLY1
gene,MBD4
gene,SRCAP
gene,ARL13B
gene,FHL3
gene,ATMIN
gene,TGFB1I1
gene,CAB39L
gene,CCNG1
gene,RYBP
gene,ELMO1
gene,ICAM1
gene,TPR
gene,CEP72
gene,SUGT1
gene,CSPP1
gene,PCGF3
gene,FTSJ3
gene,ISY1
gene,EXOC7
gene,SPI1
gene,ZBTB8A
gene,EVL
gene,TEAD1
gene,EMC3
gene,CLN3
gene,ANAPC15
gene,PMM1
gene,AFF1
gene,RPL7A
gene,STRAP
gene,DNAJC10
gene,SERP1
gene,MAP2
gene,PFDN5
gene,TRAPPC5
gene,EXOC3
gene,TRIAP1
gene,PDCD5
gene,RALA
gene,COG6
gene,SPATA20
gene,MRPL37
gene,RPL14
gene,CARM1
gene,WBP2
gene,ANAPC16
gene,MBD1
gene,CALR
gene,NFYB
gene,FBXW5
gene,ZNF423
gene,GDI2
gene,MRPS10
gene,CDR2
gene,CAPN1
gene,GATAD2B
gene,DAG1
gene,RNF139
gene,FOXK1
gene,HEXB
gene,INTS14
gene,SRSF11
gene,LUC7L2
gene,CLPB
gene,NOD1
gene,LSM5
gene,TYW1
gene,HEY1
gene,SREK1
gene,PTPN12
gene,TXNL4B
gene,EIF2AK1
gene,MYD88
gene,ATG7
gene,POU2F2
gene,GNPDA1
gene,CHFR
gene,HIF1AN
gene,HDAC9
gene,NUP160
gene,S100A4
gene,RSL1D1
gene,TRAPPC10
gene,RACGAP1
gene,MRPL28
gene,SP100
gene,STC1
gene,DNAJB1
gene,TOLLIP
gene,MDFIC
gene,WASL
gene,ARID4B
gene,VIM
gene,GNAI2
gene,TFPT
gene,DCLRE1B
gene,DAB2IP
gene,ULK1
gene,MUC1
gene,TINF2
gene,TRPC4AP
gene,LIN54
gene,PRPF31
gene,RPL32
gene,BRD8
gene,NR4A1
gene,STX11
gene,PDCD2
gene,PAM16
gene,UHRF2
gene,POLB
gene,CCNDBP1
gene,PGR
gene,HINFP
gene,MMP2
gene,PSMB6
gene,GGA1
gene,CTCF
gene,LTN1
gene,EMC2
gene,MAPK1
gene,PDGFB
gene,PCGF2
gene,MRPL21
gene,RPS3A
gene,ZNF277
gene,MRPS2
gene,CSNK1E
gene,RANBP2
gene,TSR1
gene,NDN
gene,STAP2
gene,AHDC1
gene,MOB1A
gene,CDCA4
gene,ZNF622
gene,NFATC2
gene,ARL14EP
gene,UROS
gene,POLR3E
gene,APAF1
gene,WDR83
gene,UBE2V1
gene,CREB1
gene,RAD18
gene,CTNNBL1
gene,GTF2B
gene,PPP1R8
gene,FEZ2
gene,ARPC3
gene,STAT3
gene,METTL21A
gene,LARP1
gene,SIN3B
gene,IRAK4
gene,DDX23
gene,ANKS1A
gene,HYOU1
gene,PABPC4
gene,MYH9
gene,PTGS2
gene,FGFR1
gene,MAD1L1
gene,BAZ1A
gene,SYNJ1
gene,DNAJA2
gene,IFRD2
gene,TIPRL
gene,PSMD11
gene,TUBGCP5
gene,KLF4
gene,ABL1
gene,GHR
gene,CNOT1
gene,MYO6
gene,SIVA1
gene,NCAPH
gene,BANP
gene,VPS29
gene,RNGTT
gene,UGCG
gene,UTP20
gene,CHEK2
gene,CACTIN
gene,FBXW11
gene,ZKSCAN5
gene,RPL36
gene,ZNF346
gene,UBXN2A
gene,RCOR3
gene,BBS1
gene,TIRAP
gene,ASF1A
gene,FBXL5
gene,RNF146
gene,CCDC40
gene,SPHK1
gene,MTF2
gene,TSC2
gene,PYCRL
gene,ARHGAP5
gene,PSMG1
gene,ZC3H13
gene,RBM8A
gene,RCHY1
gene,RAB1A
gene,FKBP8
gene,NCF1
gene,CYTH3
gene,CAND1
gene,VPS28
gene,CBLB
gene,KHSRP
gene,HSCB
gene,TXLNA
gene,TTN
gene,OS9
gene,H1F0
gene,AMDHD2
gene,STX4
gene,YWHAE
gene,OBSL1
gene,ID1
gene,MAP3K3
gene,PSMD7
gene,TMEM214
gene,NAA30
gene,YAE1D1
gene,SMARCAL1
gene,RNF11
gene,USP14
gene,UBE2W
gene,STK4
gene,NACA2
gene,KCNH2
gene,NAV1
gene,CHERP
gene,COPG1
gene,KRAS
gene,VAPA
gene,BACH1
gene,POLR1D
gene,ANKRD52
gene,NOP58
gene,PSKH1
gene,P4HA2
gene,GDE1
gene,MMS19
gene,KBTBD7
gene,RAD1
gene,DAZAP2
gene,MVP
gene,ARF4
gene,GTF2I
gene,SND1
gene,USP25
gene,ANXA2
gene,MAD2L1BP
gene,JUNB
gene,RRAGC
gene,COPS3
gene,MAP1LC3A
gene,TFDP1
gene,MRPL10
gene,DAP3
gene,FANCI
gene,ZEB1
gene,SPSB2
gene,CSNK1A1
gene,ATG12
gene,SRSF3
gene,BAG3
gene,PACSIN1
gene,NPLOC4
gene,FBXL12
gene,RPS6KA1
gene,ZDHHC17
gene,HIPK2
gene,SF3A2
gene,ARL2BP
gene,BLOC1S6
gene,PSMB2
gene,FADD
gene,STXBP5
gene,TRRAP
gene,UPF2
gene,POLR2F
gene,DISC1
gene,ENO1
gene,TOP2B
gene,CNOT11
gene,TCF7L2
gene,ANAPC11
gene,IRF7
gene,ZFAND2A
gene,CTR9
gene,EXOSC1
gene,POLR2C
gene,EFTUD2
gene,NFRKB
gene,ACTG1
gene,MRPL2
gene,IK
gene,COX17
gene,FANCM
gene,RABAC1
gene,MARCH7
gene,NDUFV1
gene,PDCD6
gene,DDB1
gene,SNRPA1
gene,MRPL38
gene,HMG20A
gene,MTA3
gene,ARNT
gene,PARK2
gene,MAGOH
gene,CDK3
gene,CBX3
gene,DPF3
gene,NCF2
gene,EHMT1
gene,RPL31
gene,MYSM1
gene,PARK7
gene,CEP131
gene,POLE3
gene,MARCH5
gene,WDR92
gene,EXOSC8
gene,RAB4A
gene,COPS7A
gene,TBP
gene,MBTD1
gene,UNC5B
gene,SF3B5
gene,CNOT3
gene,LMTK2
gene,TADA1
gene,HYPK
gene,HSPD1
gene,FGFR1OP2
gene,SWSAP1
gene,RPL35A
gene,WDR20
gene,FBXW4
gene,THOC6
gene,RAP1B
gene,FUS
gene,SOCS1
gene,CLNS1A
gene,PSMB4
gene,RFC5
gene,RNF181
gene,DCAF7
gene,MPHOSPH6
gene,STX2
gene,CDK4
gene,MED19
gene,TRAF1
gene,TSSC4
gene,STX7
gene,DAB2
gene,MED13L
gene,MMADHC
gene,CDK2AP1
gene,TNKS1BP1
gene,PRKCA
gene,TSG101
gene,PTEN
gene,POLR2J
gene,SNRPD1
gene,SERPINE2
gene,EHD1
gene,TRIM13
gene,ZMYND8
gene,SLC3A2
gene,TANC2
gene,MYO1E
gene,EXOC6
gene,SETD1A
gene,RPS24
gene,AGO1
gene,SLC9A1
gene,PGM1
gene,BCL2L1
gene,NR2C1
gene,GSK3A
gene,ZMYM2
gene,DROSHA
gene,CAPZA1
gene,SYNGAP1
gene,GNA13
gene,RBFOX2
gene,TOX4
gene,TTC30B
gene,DNMBP
gene,MITF
gene,DCTN4
gene,ATXN1
gene,PIK3C3
gene,BAG1
gene,CCAR2
gene,AKR7A2
gene,AKAP13
gene,TIGD5
gene,AP2S1
gene,BBS5
gene,MOB4
gene,WDR12
gene,ZNF217
gene,RORA
gene,RUFY1
gene,CNOT6L
gene,BICD2
gene,PLCG1
gene,ETS2
gene,ZFPM1
gene,AMOTL2
gene,ATP6V1D
gene,VPS18
gene,PPP2R5E
gene,OTUB1
gene,UBXN6
gene,SMURF2
gene,AHSA1
gene,PPP2R5A
gene,SGSH
gene,ALG2
gene,ITGB3BP
gene,CYLD
gene,PIK3CA
gene,RASSF1
gene,MRPS35
gene,PANK2
gene,EGFR
gene,NUMA1
gene,CCT8
gene,PTPRF
gene,USP5
gene,MBIP
gene,CPNE1
gene,ARF3
gene,PSAT1
gene,RPS7
gene,ZNF627
gene,HNRNPU
gene,MAPK3
gene,TIPIN
gene,DBN1
gene,MZT2B
gene,PRPF4B
gene,DLST
gene,SGF29
gene,SIK2
gene,TLN1
gene,SUB1
gene,FEZ1
gene,PSME3
gene,XRCC3
gene,EXOSC5
gene,HERC5
gene,PER1
gene,PLEC
gene,TELO2
gene,PIAS4
gene,RNPS1
gene,ERBB3
gene,TRIM32
gene,PPP1R13B
gene,YEATS2
gene,GGA2
gene,RALGPS2
gene,UBE2D3
gene,SH2B2
gene,NUDCD3
gene,GTF2H4
gene,LYN
gene,TPP1
gene,CLTC
gene,TTL
gene,DNTTIP1
gene,ELMOD2
gene,HSD17B12
gene,RPS11
gene,UAP1
gene,NDUFAF1
gene,PI4KB
gene,ATP5D
gene,ZCCHC17
gene,PTN
gene,DDX6
gene,RPL22
gene,LRRC42
gene,RNF41
gene,RPS20
gene,CDC40
gene,RNF167
gene,RNF14
gene,CASP9
gene,BCL3
gene,CXXC1
gene,RELB
gene,ATP6V1H
gene,PPP1R2
gene,TIMM13
gene,NPAS2
gene,UBXN2B
gene,PNPLA2
gene,TRIP10
gene,NDUFV2
gene,USF1
gene,LLGL2
gene,POLR2I
gene,SMC2
gene,APBA1
gene,CDK11A
gene,CNBP
gene,TRAP1
gene,TCP10L
gene,IFT46
gene,STK38
gene,PCBP2
gene,IGFBP5
gene,FKBP5
gene,SRRM2
gene,TAF11
gene,UBAP1
gene,MARCKS
gene,ERCC4
gene,BRD7
gene,CDK5RAP2
gene,CIR1
gene,LCA5
gene,STX5
gene,MED6
gene,ZDHHC16
gene,MAP1LC3B
gene,EIF4EBP1
gene,UBA6
gene,MAP1B
gene,DYNLL1
gene,HCFC2
gene,KPNB1
gene,AGPS
gene,REST
gene,CARD11
gene,ORC2
gene,BHLHE40
gene,SPIN1
gene,MAPKAPK3
gene,ELMSAN1
gene,LCOR
gene,RBBP5
gene,SDCBP
gene,ANKRD37
gene,DLAT
gene,LEMD3
gene,DZIP3
gene,RMI1
gene,MAFF
gene,FGFR1OP
gene,CRY1
gene,PKMYT1
gene,PHB2
gene,COMMD6
gene,HIST4H4
gene,CIAO1
gene,ERCC1
gene,SCMH1
gene,SUZ12
gene,H2AFZ
gene,HDAC1
gene,INPPL1
gene,CACYBP
gene,EXOSC6
gene,MAPK8IP2
gene,L3MBTL1
gene,HLA-G
gene,WDYHV1
gene,GZMA
gene,ARPC5L
gene,FBXO28
gene,NEDD9
gene,ACTR2
gene,MDM4
gene,PSMD4
gene,HDAC7
gene,PCK2
gene,MAP3K4
gene,RP9
gene,CCDC8
gene,RAP1A
gene,POLD1
gene,NEDD4L
gene,DYRK2
gene,CCND2
gene,MZT1
gene,RIPK2
gene,GRB14
gene,CCDC18
gene,SEPT11
gene,RCC1
gene,TDRD3
gene,CCDC85B
gene,CTNNA1
gene,S100A9
gene,GJA1
gene,DEDD
gene,PTGDS
gene,CSNK1D
gene,SOD1
gene,TAB1
gene,SYNCRIP
gene,SIL1
gene,DBNL
gene,EHBP1L1
gene,DTX3L
gene,NBN
gene,NFATC1
gene,ACOT13
gene,CLTA
gene,P2RX7
gene,RPIA
gene,FKBP3
gene,EXOSC4
gene,UBB
gene,RPA3
gene,ATAD2
gene,FOXK2
gene,CPSF4
gene,RRAS
gene,ELL2
gene,HLTF
gene,HERC4
gene,SDHA
gene,HIF1A
gene,KCTD10
gene,SNRPA
gene,KPNA3
gene,STIP1
gene,RNF4
gene,NOD2
gene,RBL1
gene,MUS81
gene,CSNK2B
gene,ARFGAP1
gene,RAD54L
gene,BMPR2
gene,STAT2
gene,POLR3D
gene,ADAP1
gene,VAMP8
gene,NFKBIA
gene,NDRG1
gene,NUMB
gene,STAT5B
gene,ARPC4
gene,NECAP1
gene,NME2
gene,FBL
gene,RNF25
gene,CISD1
gene,COPZ1
gene,CD4
gene,DDX21
gene,PMF1
gene,DNMT1
gene,PFDN2
gene,ZMIZ1
gene,MRPL24
gene,LSM1
gene,KPNA2
gene,MYL6
gene,TRPC1
gene,FBXW2
gene,EP300
gene,FBLN1
gene,ITGA2B
gene,TAF13
gene,NINL
gene,AMFR
gene,TRAF5
gene,RNF31
gene,EIF4E2
gene,HGS
gene,HBP1
gene,NFKB1
gene,VCPIP1
gene,NEK4
gene,PSMB1
gene,RPLP1
gene,TSEN54
gene,CYTH1
gene,AP2B1
gene,FGF1
gene,AGO3
gene,CCNT2
gene,SKIL
gene,MED24
gene,BPTF
gene,ANP32A
gene,CCND1
gene,CLASRP
gene,CRMP1
gene,CEP76
gene,CRIPT
gene,KLHL20
gene,PPP1R12A
gene,SMC6
gene,RBPJ
gene,YAF2
gene,VCAM1
gene,PDE6D
gene,NEURL2
gene,LZTS2
gene,NFE2L2
gene,GCDH
gene,MRPL47
gene,CASP2
gene,TYK2
gene,NCK1
gene,CPSF2
gene,LPXN
gene,AGA
gene,ATF2
gene,SPTAN1
gene,PARP4
gene,TUBA1C
gene,NEDD4
gene,HTRA1
gene,PRKDC
gene,NDUFA2
gene,MRPL15
gene,PPME1
gene,LARP7
gene,PPP1R14A
gene,GNB3
gene,MED11
gene,AMOTL1
gene,CEP290
gene,TOPBP1
gene,TSN
gene,PPP1CA
gene,SIAH1
gene,MEPCE
gene,TSC22D1
gene,ZNF281
gene,LSM8
gene,WDR26
gene,EXOSC7
gene,RPL7
gene,CTTNBP2NL
gene,PAK2
gene,BLZF1
gene,STMN1
gene,EHMT2
gene,ZNF268
gene,GSTO1
gene,SMG6
gene,IMMT
gene,RPS26
gene,HELQ
gene,ADNP
gene,PTP4A2
gene,PLCB1
gene,ZAP70
gene,SHC1
gene,RAI14
gene,BATF3
gene,BBS4
gene,PIM1
gene,GAB2
gene,DDX19A
gene,LCP2
gene,PEX11B
gene,SAAL1
gene,RPS27L
gene,CNOT6
gene,INO80
gene,PEX16
gene,SAP18
gene,SIRT7
gene,SSR3
gene,PTPN21
gene,EIF3G
gene,TFAP4
gene,ZBTB7C
gene,SEPT2
gene,MCM2
gene,TUBGCP3
gene,PEX1
gene,VCL
gene,SEC61B
gene,STOML1
gene,GRB10
gene,KLF10
gene,KBTBD6
gene,RASSF7
gene,CREM
gene,MRPS15
gene,ATF7
gene,POLR2L
gene,RRM1
gene,DCP1B
gene,PLEKHO1
gene,SUPT7L
gene,SAP30
gene,IRAK2
gene,MCM8
gene,WNK1
gene,CBX7
gene,MATR3
gene,SPEN
gene,MARK2
gene,PPP1R11
gene,ITCH
gene,ATP5F1
gene,ING4
gene,CCNYL1
gene,ESRRA
gene,DHX58
gene,GCFC2
gene,CKS1B
gene,PHF12
gene,NFYA
gene,EDC4
gene,RPS6
gene,CIT
gene,WBSCR27
gene,ARPC2
gene,EIF2B3
gene,CSTF1
gene,TRIP6
gene,LATS1
gene,HMGN2
gene,VPS11
gene,RPL35
gene,MNT
gene,WWOX
gene,LRP6
gene,BMP2
gene,CLP1
gene,GTF2F2
gene,ZNF420
gene,BET1
gene,UPF1
gene,HDAC5
gene,AOX1
gene,CALM1
gene,RALGDS
gene,TUBB4B
gene,POGZ
gene,SMAD3
